Sector,MarketCap,Weight (%)
Banks,42774851584,39.30973452480321
Soft Drinks,14358561792,13.195399429804896
Nonferrous Metals,7553668096,6.941758452606855
Gambling,6670024704,6.129697489966143
Fixed Line Telecommunications,6352609280,5.837995342805799
Conventional Electricity,5328566272,4.896908295258489
Toys,3729987840,3.427827948934121
Industrial Goods & Services,2883960064,2.650335426023543
Construction Materials and Fixtures,2750242048,2.527449676208118
Exploration & Production,2701851904,2.4829795344351764
Integrated Oil and Gas,2455778816,2.2568404035025336
Heavy Construction,2343682304,2.1538246368850134
Diversified Industrials,2019088256,1.855525393691753
Real Estate Holding & Development,1267948416,1.165234098503535
Airlines,1223429760,1.1243218221552604
Basic Resources,1105921280,1.0163325017448308
Personal Products,858675968,0.7891161066596026
Technology,745901056,0.6854768960577294
Water,683729984,0.6283421955283048
Consumer Products & Services,548106432,0.5037052739024905
Construction & Materials,458322464,0.421194550522597
